,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10,Book 11,Book 12
line661,"Then took the fiery Steeds, e're yet the Food",A mighty Breach is made; the Rooms conceal'd,(The shortest passage to th' Italian shore:),"This dire Presage, to her alone reveal'd,",And send among the Greeks a feather'd Wound.,"Fled from his well known Face, with wonted Fear,",The Stygian Fury to the Trojans flies:,This pow'rful People: Seek a Foreign Head.,"Her Shrieks and Clamours, pierce the Trojans Ears,","My own Sarpedon fell beneath his Foe,",And not a bloodless Victory was bought:,With him the Latins view'd the cover'd Plains;
line662,"Of Troy they taste, or drink the Xanthian Flood.","Appear, and all the Palace is reveal'd.","Now had the Sun withdrawn his radiant Light,","From all, and ev'n her Sister, she conceal'd.","Acestes in the bottom, last remain'd;","As when his thund'ring Sword, and pointed Spear,","New Frauds invents, and takes a steepy Stand,","Aw'd with these Words, in Camps they still abide;","Unman their Courage, and augment their Fears:","Nor I, his mighty Sire, cou'd ward the Blow.","Their Losses equall'd ours, and for their slain,",And the chill Blood ran backward in their Veins.
line663,Elsewhere he saw where Troilus defy'd,"The Halls of Audience, and of publick State,",And Hills were hid in dusky Shades of Night:,"A Marble Temple stood within the Grove,",Whom not his Age from Youthful Sports restrain'd.,"Drove headlong to their Ships, and glean'd the routed Reer.",Which overlooks the Vale with wide Command;,And wait with longing Looks their promis'd Guide.,"Nor young Ascanius cou'd the sight sustain,",Ev'n Turnus shortly shall resign his Breath;,With equal Fires they fill'd the shining Plain;,Juturna saw th' advancing Troops appear;
line664,"Achilles, and unequal Combat try'd.",And where the lonely Queen in secret sate.,We land; and on the bosom of the Ground,"Sacred to Death, and to her murther'd Love;","Soon, all with Vigour bend their trusty Bows,","They rais'd a feeble Cry, with trembling Notes:","Where fair Ascanius, and his youthful Train,","Tarchon, the Tuscan Chief, to me has sent",Nor old Ilioneus his Tears restrain:,And stands already on the Verge of Death.,Why thus unforc'd shou'd we so tamely yield;,"And heard the hostile Sound, and fled for Fear."
line665,"Then, where the Boy disarm'd with loosen'd Reins,","Arm'd Souldiers now by trembling Maids are seen,","A safe Retreat, and a bare Lodging found;",That honour'd Chappel she had hung around,"And from the Quiver each his Arrow chose,",But the weak Voice deceiv'd their gasping Throats.,"With Horns and Hounds a hunting Match ordain,","Their Crown, and ev'ry Regal Ornament:","But Actor and Idoeus, jointly sent,","This said, the God permits the fatal Fight,","And e're the Trumpet sounds, resign the Field?","Aeneas leads; and draws a sweeping Train,"
line666,Was by his Horses hurry'd o're the Plains:,"With not a Door, and scarce a Space between.",Close by the Shore we lay; the Sailors keep,"With snowy Fleeces, and with Garlands crown'd:",Hippocoon's was the first: with forceful sway,"Here Priam's Son, Deiphobus, he found:",And pitch their Toils around the shady Plain.,The People join their own with his Desire;,To bear the madding Mother to her Tent.,But from the Latian Fields averts his sight.,"Good unexpected, Evils unforeseen,","Clos'd in their Ranks, and pouring on the Plain."
line667,"Hung by the Neck and Hair, and drag'd around,","The House is fill'd with loud Laments and Cries,","Their watches, and the rest securely sleep.","Oft, when she visited this lonely Dome,","It flew, and, whizzing, cut the liquid way:",Whose Face and Limbs were one continu'd Wound.,"The Fury fires the Pack; they snuff, they vent,","And All, my Conduct, as their King, require.","And now the Trumpets terribly from far,",Now with full Force his Spear young Pallas threw;,"Appear by Turns, as Fortune shifts the Scene:","As when a Whirlwind rushing to the Shore,"
line668,The hostile Spear yet sticking in his Wound;,And Shrieks of Women rend the vaulted Skies.,"The Night proceeding on with silent pace,",Strange Voices issu'd from her Husband's Tomb:,"Fix'd in the Mast the feather'd Weapon stands,","Dishonest, with lop'd Arms, the Youth appears:",And fill their hungry Nostrils with the Scent.,"But the chill Blood that creeps within my Veins,","With rattling Clangor, rouze the sleepy War.","And having thrown, his shining Fauchion drew:","Some, rais'd aloft, come tumbling down amain;","From the mid Ocean, drives the Waves before:"
line669,With tracks of Blood inscrib'd the dusty Ground.,"The fearful Matrons run from place to place,","Stood in her noon; and view'd with equal Face,",She thought she heard him summon her away;,The fearful Pidgeon flutters in her Bands;,"Spoil'd of his Nose, and shorten'd of his Ears.","'Twas of a well grown Stag, whose Antlers rise","And Age, and lifeless Limbs unfit for Pains,",The Souldiers Shouts succeed the Brazen Sounds;,"The Steel just graz'd along the Shoulder Joint,","Then fall so hard, they bound and rise again.","The painful Hind, with heavy Heart foresees,"
line670,"Mean time the Trojan Dames oppress'd with Woe,","And kiss the Thresholds, and the Posts embrace.","Her steepy rise, and her declining Race.",Invite her to his Grave; and chide her stay.,And the Tree trembled: and the shouting Cries,"He scarcely knew him, striving to disown","High o're his Front, his Beams invade the Skies:","And a Soul conscious of its own Decay,","And Heav'n, from Pole to Pole, the Noise rebounds.",And mark'd it slightly with the glancing Point.,"If Diomede refuse his Aid to lend,","The flatted Fields, and slaughter of the Trees;"
line671,"To Pallas Fane in long Precession goe,","The fatal work inhuman Pyrrhus plies,","Then wakeful Palinurus rose, to spie","Hourly 'tis heard, when with a bodeing Note","Of the pleas'd People, rend the vaulted Skies.","His blotted Form, and blushing to be known.","From this light Cause, th' Infernal Maid prepares",Have forc'd me to refuse Imperial Sway.,"The Volscians bear their Shields upon their Head,","Fierce Turnus first to nearer distance drew,",The great Messapus yet remains our Friend:,"With like impetuous Rage the Prince appears,"
line672,In hopes to reconcile their Heav'nly Foe:,And all his Father sparkles in his Eyes.,"The face of Heav'n, and the Nocturnal Skie;",The solitary Screech-Owl strains her Throat:,"Then Mnestheus to the head his Arrow drove,","And therefore first began. O Teucer's Race,","The Country Churls to Mischief, Hate, and Wars.",My Pallas were more fit to mount the Throne;,"And rushing forward, from a moving Shed;",And poiz'd his pointed Spear before he threw:,"Tolumnius, who foretels Events, is ours;",Before his doubled Front; nor less Destruction bears.
line673,"They weep, they beat their Breasts, they rend their Hair,","Nor Bars, nor fighting Guards his force sustain;",And listen'd ev'ry breath of Air to try:,"And on a Chimney's top, or Turret's hight,",With lifted Eyes; and took his Aim above;,Who durst thy faultless Figure thus deface?,"The stately Beast, the Two Tyrrheidae bred,","And shou'd, but he's a Sabine Mother's Son;","These fill the Ditch, those pull the Bulwarks down:","Then, as the winged Weapon whiz'd along;","Th' Italian Chiefs, and Princes, joyn their Pow'rs:","And now both Armies shock, in open Field;"
line674,And rich embroider'd Vests for Presents bear:,"The Bars are broken, and the Guards are slain.","Observes the Stars, and notes their sliding Course,","With Songs obscene, disturbs the Silence of the Night.","But made a glancing Shot, and miss'd the Dove.","What heart cou'd wish, what hand inflict this dire Disgrace?","Snatch'd from his Dam, and the tame Youngling fed.",And half a Native: But in you combine,"Some raise the Ladders, others scale the Town.","See now, said he, whose Arm is better strung.","Nor least in Number, nor in Name the last,",Osyris is by strong Thymbraeus kill'd.
line675,But the stern Goddess stands unmov'd with Pray'r.,"In rush the Greeks, and all the Apartments fill;","The Pleiads, Hyads, and their wat'ry force;","Besides, old Prophesies augment her Fears;","Yet miss'd so narrow, that he cut the Cord","Twas fam'd, that in our last and fatal Night,","Their Father Tyrrheus did his Fodder bring,","A Manly Vigour, and a Foreign Line.","But where void Spaces on the Walls appear,","The Spear kept on the fatal Course, unstay'd",Your own brave Subjects have your Cause embrac'd.,"Archetius, Ufens, Epulon, are slain;"
line676,Thrice round the Trojan Walls Achilles drew,"Those few Defendants whom they find, they kill.",And both the Bears is careful to behold;,"And stern Aeneas in her Dreams appears,","Which fasten'd, by the Foot, the flitting Bird.",Your single Prowess long sustain'd the Fight:,"Tyrrheus, chief Ranger to the Latian King:","Where Fate and smiling Fortune shew the Way,","Or thin Defence, they pour their Forces there.","By Plates of Ir'n, which o're the Shield were laid:","Above the rest, the Volscian Amazon","(All fam'd in Arms, and of the Latian Train;)"
line677,"The Corps of Hector, whom in Fight he slew.","Not with so fierce a Rage, the foaming Flood",And bright Orion arm'd with burnish'd Gold.,"To wander in her Sleep, thro ways unknown,","The Captive thus releas'd, away she flies,","Till tir'd, not forc'd, a glorious Fate you chose:",Their Sister Silvia cherish'd with her Care,Pursue the ready Path to Sov'raign Sway.,"With Poles and missive Weapons from afar,","Thro' folded Brass, and tough Bull-hides it pass'd,",Contains an Army in her self alone:,"By Gyas, Mnestheus, and Achates Hand:"
line678,"Here Priam sues, and there, for Sums of Gold,","Roars, when he finds his rapid Course withstood:","Then when he saw no threat'ning Tempest Nigh,","Guidless and dark: or, in a Desart Plain,","And beats with clapping Wings, the yielding Skies.",And fell upon a Heap of slaughter'd Foes.,"The little Wanton, and did Wreaths prepare","The Staff of my declining Days, my Son,",The Trojans keep aloof the rising War.,"His Corslet pierc'd, and reach'd his Heart at last.","And heads a Squadron, terrible to sight,","The fatal Augur falls, by whofe command"
line679,The lifeless Body of his Son is sold.,"Bears down the Dams with unresisted sway,",But a sure promise of a settled Skie;,"He saw two Suns, and double Thebes appear:","His Bow already bent, Eurytion stood,","But in remembrance of so brave a Deed,",To hang his budding Horns: with Ribbons ty'd,Shall make your good or ill Success his own.,Taught by their ten Years Siege defensive fight;,"In vain the Youth tugs at the broken Wood,","With glitt'ring Shields, in Brazen Armour bright.","The Truce was broken, and whose Lance embru'd"
line680,"So sad an Object, and so well express'd,",And sweeps the Cattle and the Cots away.,He gave the Sign to weigh; we break our sleep;,"Or mad Orestes, when his Mother's Ghost","And having first invok'd his Brother God,","A Tomb, and Fun'ral Honours I decreed:","His tender Neck, and comb'd his silken Hide;",In fighting Fields from you shall learn to dare:,"They rowl down Ribs of Rocks, an unresisted Weight:",The Soul comes issuing with the vital Blood:,"Yet if the Foe a single Fight demand,","With Trojan Blood, th' unhappy Fight renew'd."
line681,Drew Sighs and Groans from the griev'd Heroes Breast:,"These Eyes beheld him, when he march'd between","Forsake the pleasing Shore, and plow the deep.","And shook her snaky locks: He shuns the sight,",His winged Shaft with eager haste he sped;,"Thrice call'd your Manes, on the Trojan Plains:","And bath'd his Body. Patient of Command,",And serve the hard Apprentiship of War.,To break the Penthouse with the pond'rous Blow;,He falls; his Arms upon his Body sound;,And I alone the Publick Peace withstand;,Loud Shouts and Clamours rend the liquid Sky;
line682,"To see the Figure of his lifeless Friend,","The Brother-Kings: I saw th' unhappy Queen,","And now the rising Morn, with rosie light","Flies o're the Stage, surpris'd with mortal fright;",The fatal Message reach'd her as she fled:,"The place your Armour, and your Name retains.","In time he grew, and growing us'd to Hand.","Your matchless Courage, and your Conduct view;",Which yet the patient Volscians undergo.,And with his bloody Teeth he bites the Ground.,"If you consent, he shall not be refus'd,",And o're the Field the frighted Latins fly.
line683,And his old Sire his helpless Hand extend.,"The hundred Wives, and where old Priam stood,","Adorns the Skies, and puts the Stars to flight:",The Furies guard the Door; and intercept his flight.,"She leaves her Life aloft, she strikes the Ground;","Your Body too I sought; and had I found,",He waited at his Master's Board for Food;,And early shall begin t' admire and copy you.,But cou'd not bear th' unequal Combat long;,"Turnus bestrode the Corps: Arcadians hear,",Nor find a Hand to Victory unus'd.,"The Prince disdains the Dastards to pursue,"
line684,"Himself he saw amidst the Grecian Train,",To stain his hallow'd Altar with his Blood.,"When we from far, like bluish Mists, descry","Now, sinking underneath a load of Grief,",And renders back the Weapon in the Wound.,Design'd for Burial in your Native Ground.,Then sought his salvage Kindred in the Wood:,"Besides, two hundred Horse he shall command:","For where the Trojans find the thickest Throng,",Said he; my Message to your Master bear:,"This new Achilles, let him take the Field,",Nor moves to meet in Arms the fighting few:
line685,Mix'd in the bloody Battel on the Plain.,"The fifty Nuptial Beds: (such Hopes had he,","The Hills, and then the Plains of Italy.","From Death alone, she seeks her last Relief:","Acestes grudging at his Lot, remains,","The Ghost reply'd, your Piety has paid","Where grazing all the Day, at Night he came","Tho' few, a warlike and well chosen Band.","The Ruin falls: Their shatter'd Shields give way,","Such as the Sire deserv'd, the Son I send:","With fated Armour, and Vulcanian Shield;","Turnus alone, amid the dusky Plain,"
line686,And swarthy Memnon in his Arms he knew,So large a Promise of a Progeny.),Achates first pronounc'd the Joyful sound;,"The Time and Means, resolv'd within her Breast,",Without a Prize to gratifie his Pains.,"All needful Rites, to rest my wand'ring Shade:","To his known Lodgings, and his Country Dame.",These in my Name are listed: And my Son,And their crush'd Heads become an easie Prey.,It costs him dear to be the Phrygians Friend.,"For you, my Royal Father, and my Fame,","He seeks, and to the Combat calls in vain."
line687,"His pompous Ensigns, and his Indian Crew.","The Posts of plated Gold, and hung with Spoils,",Then Italy the chearful Crew rebound.,"She to her mournful Sister, thus address'd.","Yet shooting upward, sends his Shaft, to show","But cruel Fate, and my more cruel Wife,","This household Beast, that us'd the Woodland Grounds,",As many more has added in his own.,"They shrink for Fear, abated of their Rage,","The lifeless Body, tell him, I bestow","I, Turnus, not the least of all my Name,","Juturna heard, and seiz'd with Mortal Fear,"
line688,"Penthisilea there, with haughty Grace,",Fell the Reward of the proud Victor's Toils.,My Sire Anchises crown'd a Cup with Wine:,"(Dissembling hope, her cloudy front she clears,","An Archer's Art, and boast his twanging Bow.",To Grecian Swords betray'd my sleeping Life.,Was view'd at first by the young Hero's Hounds;,"Scarce had he said; Achates and his Guest,",Nor longer dare in a blind Fight engage.,"Unask'd, to please his wand'ring Ghost below.","Devote my Soul. He calls me hand to hand,",Forc'd from the Beam her Brother's Charioteer;
line689,Leads to the Wars an Amazonian Race:,"Where e're the raging Fire had left a space,","And off'ring, thus implor'd the Pow'rs Divine.",And a false Vigour in her Eyes appears.),The pointed Arrow gave a dire Portent;,These are the Monuments of Helen's Love:,"As down the Stream he swam, to seek Retreat",With downcast Eyes their silent Grief exprest:,Contented now to gaul them from below,"He said, and trampled down with all the Force",And I alone will answer his Demand.,"Assumes his Shape, his Armour, and his Meen;"
line690,In their right Hands a pointed Dart they wield;,"The Grecians enter, and possess the Place.","Ye Gods, presiding over Lands and Seas,","Rejoice she said, instructed from above,",And latter Augures judge from this Event.,"The Shame I bear below, the Marks I bore above.","In the cool Waters, and to quench his Heat.","Who short of Succours; and in deep Despair,","With Darts and Slings, and with the distant Bow.","Of his left Foot, and spurn'd the wretched Corse:","Drances shall rest secure, and neither share","And like Metiscus, in his Seat is seen."
line691,"The left, for Ward, sustains the Lunar Shield.",Perhaps you may of Priam's Fate enquire.,"And you who raging Winds and Waves appease,","My Lover I shall gain, or lose my Love.","Chaf'd by the speed, it fir'd; and as it flew,",You know in what deluding Joys we past,"Ascanius young, and eager of his Game,",Shook at the dismal Prospect of the War.,"Elsewhere Mezentius, terrible to view,","Then snatch'd the shining Belt, with Gold inlaid;","The Danger, nor divide the Prize of War.",As the black Swallow near the Palace plies;
line692,"Athwart her Breast a Golden Belt she throws,","He, when he saw his Regal Town on fire,",Breath on our swelling Sails a prosp'rous Wind:,"Nigh rising Atlas, next the falling Sun,","A Trail of following Flames, ascending drew:","The Night, that was by Heav'n decreed our last.","Soon bent his Bow, uncertain in his Aim:","But his bright Mother, from a breaking Cloud,",A blazing Pine within the Trenches threw.,The Belt Eurytion's artful Hands had made:,While they debate; nor these nor those will yield;,"O're empty Courts, and under Arches flies;"
line693,Amidst the Press alone provokes a thousand Foes:,"His ruin'd Palace, and his ent'ring Foes,",And smooth our Passage to the Port assign'd.,Long tracts of Ethiopian Clymates run:,Kindling they mount; and mark the shiny Way:,"For when the fatal Horse, descending down,","But the dire Fiend the fatal Arrow guides,","To chear her Issue, thunder'd thrice aloud.","But brave Messapus, Neptune's warlike Son,","Where fifty fatal Brides, express'd to sight,",Aeneas draws his Forces to the Field:,"Now hawks aloft, now skims along the Flood,"
line694,And dares her Maiden Arms to Manly Force oppose.,On ev'ry side inevitable woes;,The gentle Gales their flagging force renew;,"There, a Massylian Priestess I have found,","Across the Skies as falling Meteors play,","Pregnant with Arms, o'rewhelm'd th' unhappy Town;",Which pierc'd his Bowels thro' his panting sides.,"Thrice, forky Lightning flash'd along the Sky;","Broke down the Palisades, the Trenches Won,","All, in the compass of one mournful Night,","And moves his Camp. The Scouts, with flying Speed",To furnish her loquacious Nest with Food:
line695,"Thus, while the Trojan Prince employs his Eyes,","In Arms, disus'd, invests his Limbs decay'd",And now the happy Harbour is in view.,Honour'd for Age; for Magick Arts renown'd:,And vanish into Wind; or in a Blaze decay.,"She feign'd Nocturnal Orgyes: left my Bed,","The bleeding Creature issues from the Floods,",And Tyrrhene Trumpets thrice were heard on high.,"And loud for Ladders calls, to scale the Town.",Depriv'd their Bridegrooms of returning Light.,"Return, and thro' the frighted City spread",So drives the rapid Goddess o're the Plains;
line696,Fix'd on the Walls with wonder and surprise;,"Like them, with Age; a late and useless aid.",Minerva's Temple then salutes our sight;,Th' Hesperian Temple was her trusted Care;,The Trojans and Sicilians wildly stare:,"And, mix'd with Trojan Dames, the Dances led.","Possess'd with Fear, and seeks his known abodes;","Then, gazing up, repeated Peals they hear:","Calliope begin: Ye sacred Nine,",In an ill Hour insulting Turnus tore,"Th' unpleasing News, the Trojans are descry'd,",The smoaking Horses run with loosen'd Reins.
line697,"The Beauteous Dido, with a num'rous Train,",His feeble shoulders scarce the weight sustain:,"Plac'd, as a Land-mark, on the Mountains height:",'Twas she supply'd the wakeful Dragons Fare.,"And trembling, turn their Wonder into Pray'r.","Then, waving high her Torch, the Signal made,","His old familiar Hearth, and household Gods.","And, in a Heav'n serene, refulgent Arms appear;",Inspire your Poet in his high Design;,"Those Golden Spoils, and in a worse he wore.",In Battel marching by the River side;,She steers a various Course among the Foes;
line698,"And pomp of Guards, ascends the sacred Fane.","Loaded, not arm'd, he creeps along, with pain;","We furl our Sails, and turn the Prows to shore;",She Poppy-Seeds in Honey taught to steep;,"The Dardan Prince put on a smiling Face,",Which rouz'd the Grecians from their Ambuscade.,"He falls, he fills the House with heavy Groans,","Red'ning the Skies, and glitt'ring all around,",To sing what Slaughter manly Turnus made:,"O Mortals! blind in Fate, who never know","And bending to the Town. They take th' Allarm,","Now here, now there, her conqu'ring Brother shows:"
line699,"Such on Eurota's Banks, or Cynthus's hight,",Despairing of Success; ambitious to be slain!,The curling Waters round the Galleys roar:,Reclaim'd his Rage; and sooth'd him into sleep.,And strain'd Acestes with a close Embrace:,"With Watching overworn, with Cares opprest,","Implores their Pity, and his Pain bemoans.",The temper'd Metals clash; and yield a Silver sound.,What Souls he sent below the Stygian Shade.,"To bear high Fortune, or endure the low!","Some tremble, some are bold, all in Confusion arm.","Now with a straight, now with a wheeling flight,"
line700,"Diana seems; and so she charms the sight,","Uncover'd but by Heav'n, there stood in view","The Land lies open to the raging East,",She watch'd the Golden Fruit; her Charms unbind,"Then hon'ring him with Gifts above the rest,",Unhappy I had laid me down to rest;,"Young Silvia beats her Breast, and cries aloud","The rest stood trembling, struck with awe divine,","What Fame the Souldiers with their Captain share,","The Time shall come, when Turnus, but in vain,",Th' impetuous Youth press forward to the Field;,"She turns, and bends, but shuns the single Fight."
line701,When in the Dance the graceful Goddess leads,An Altar; near the hearth a Lawrel grew;,"Then, bending like a Bow, with Rocks compress'd,",The Chains of Love; or fix them on the Mind.,"Turn'd the bad Omen, nor his Fears confess'd.",And heavy Sleep my weary Limbs possess'd.,"For Succour, from the clownish Neighbourhood:",Aeneas onely conscious to the Sign:,And the vast Circuit of the fatal War.,Shall wish untouch'd the Trophies of the slain:,"They clash the Sword, and clatter on the Shield:","Aeneas, fir'd with Fury, breaks the Crowd,"
line702,"The Quire of Nymphs, and overtops their Heads.","Dodder'd with Age, whose Boughs encompass round","Shuts out the Storms; the Winds and Waves complain,","She stops the Torrents, leaves the Channel dry;","The Gods, said he, this Miracle have wrought;","Mean time my worthy Wife, our Arms mislay'd;","The Churls assemble; for the Fiend, who lay","Presag'd th' Event; and joyful view'd, above,",For you in singing Martial Facts excel;,Shall wish the fatal Belt were far away;,The fearful Matrons raise a screaming Cry;,"And seeks his Foe, and calls by name aloud:"
line703,"Known by her Quiver, and her lofty Meen,","The Household Gods, and shade the holy Ground.",And vent their malice on the Cliffs in vain.,Repels the Stars; and backward bears the Sky.,And order'd you the Prize without the Lot.,And from beneath my head my Sword convey'd:,"In the close Woody Covert, urg'd their way.",Th' accomplish'd Promise of the Queen of Love.,You best remember; and alone can tell.,And curse the dire Remembrance of the Day.,Old feeble Men with fainter Groans reply:,"He runs within a narrower Ring, and tries"
line704,"She walks Majestick, and she looks their Queen:","Here Hecuba, with all her helpless Train",The Port lies hid within; on either side,The yawning Earth rebellows to her Call;,"Accept this Goblet rough with figur'd Gold,","The Door unlatch'd; and with repeated calls,","One with a Brand, yet burning from the Flame;","Then, to th' Arcadian King: This Prodigy","There stood a Tow'r, amazing to the sight,","The sad Arcadians from th' unhappy Field,","A jarring Sound results, and mingles in the Sky.","To stop the Chariot, but the Chariot flies."
line705,"Latona sees her shine above the rest,","Of Dames, for shelter sought, but sought in vain.",Two Tow'ring Rocks the narrow mouth divide.,Pale Ghosts ascend; and Mountain Ashes fall.,Which Thracian Cisseus gave my Sire of old:,Invites her former Lord within my walls.,"Arm'd with a knotty Club, another came:",(Dismiss your Fear) belongs alone to me.,Built up of Beams; and of stupendous height;,Bear back the breathless Body on a Shield.,Like that of Swans remurm'ring to the Floods;,"If he but gain a glimps, Juturna fears,"
line706,And feeds with secret Joy her silent Breast.,"Driv'n like a Flock of Doves along the skie,","The Temple, which aloft we view'd before,","Witness, ye Gods, and thou my better part,","This Pledge of ancient Amity receive,",Thus in her Crime her confidence she plac'd:,"What e're they catch or find, without their Care,",Heav'n calls me to the War: Th' expected Sign,"Art, and the nature of the Place conspir'd,",O Grace and Grief of War! at once restor'd,Or Birds of diff'ring kinds in hollow Woods.,And far away the Daunian Heroe bears.
line707,"Such Dido was; with such becoming State,","Their Images they hugg, and to their Altars fly.","To distance flies, and seems to shun the Shore.",How loth I am to try this impious Art!,Which to my second Sire I justly give.,And with new Treasons wou'd redeem the past.,Their Fury makes an Instrument of War.,"Is giv'n of promis'd Aid, and Arms Divine.","To furnish all the Strength, that War requir'd.","With Praises to thy Sire, at once deplor'd.","Turnus th' occasion takes, and cries aloud,",What shou'd he do! nor Arts nor Arms avail;
line708,"Amidst the Crowd, she walks serenely great.","The Queen, when she beheld her trembling Lord,","Scarce landed, the first Omens I beheld","Within the secret Court, with silent Care,","He said, and with the Trumpets chearsul sound,","What need I more, into the Room they ran;","Tyrrheus, the Foster-Father of the Beast,","My Goddess-Mother; whose Indulgent Care,","To level this, the bold Italians join;","One Day first sent thee to the fighting Field,","Talk on, ye quaint Haranguers of the Crowd:",And various Cares in vain his Mind assail.
line709,"Their Labour to her future Sway she speeds,","And hanging by his side a heavy Sword,",Were four white Steeds that crop'd the flow'ry Field.,"Erect a lofty Pile, expos'd in Air:","Proclaim'd him Victor, and with Lawrel crown'd.",And meanly murther'd a defenceless Man.,Then clench'd a Hatchet in his horny Fist:,Foresaw the Dangers of the growing War;,The wary Trojans obviate their design:,Beheld whole heaps of Foes in Battel kill'd;,"Declaim in praise of Peace, when Danger calls;","The great Messapus thund'ring thro' the Field,"
line710,And passing with a gracious Glance proceeds:,"What Rage, she cry'd, has seiz'd my Husband's mind;","War, War is threaten'd from this Forreign Ground,","Hang on the topmost part, the Trojan Vest;",Nor good Eurytion envy'd him the Prize;,"Ulysses, basely born, first led the way:","But held his Hand from the descending Stroke,","This Omen gave; when Bright Vulcanian Arms,","With weighty Stones o'rewhelm their Troops below,","One Day beheld thee dead, and born upon thy Shield.",And the fierce Foes in Arms approach the Walls.,In his left hand two pointed Jav'lins held;
line711,"Then mounts the Throne, high plac'd before the Shrine;","What Arms are these, and to what use design'd?",(My Father cry'd) where warlike Steeds are found.,"Spoils, Arms, and Presents of my faithless Guest.",Tho' he transfix'd the Pidgeon in the Skies.,"Avenging Pow'rs! with Justice if I pray,","And left his Wedge within the cloven Oak,","Fated from force of Steel by Stygian Charms,","Shoot through the Loopholes, and sharp Jav'lins throw.","This dismal News, not from uncertain Fame,","He said, and turning short, with speedy Pace,","Encountring on the Prince, one Dart he drew,"
line712,In Crowds around the swarming People joyn.,"These times want other aids: were Hector here,","Yet, since reclaim'd to Chariots they submit,","Next, under these, the bridal Bed be plac'd,","Who cut the Line, with second Gifts was grac'd;",That Fortune be their own another day.,"To whet their Courage, and their Rage provoke.","Suspended, shone on high: She then foreshow'd","Turnus, the Chief, toss'd from his thund'ring Hand,","But sad Spectators, to the Heroe came:","Casts back a scornful Glance, and quits the Place.","And with unerring aim, and utmost Vigour threw."
line713,"She takes Petitions, and dispenses Laws,","Ev'n Hector now in vain, like Priam wou'd appear.","And bend to stubborn Yokes, and champ the Bitt,",Where I my Ruin in his Arms embrac'd:,"The third was his, whose Arrow pierc'd the Mast.","But answer you; and in your turn relate,","And now the Goddess, exercis'd in Ill,","Approaching Fights, and Fields to float in Blood.","Against the wooden Walls, a flaming Brand:","His Friends upon the brink of Ruin stand,","Thou, Volusus, the Volscian Troops command","Aeneas saw it come, and stooping low"
line714,"Hears, and determines ev'ry Private Cause.","With us, one common shelter thou shalt find,",Peace may succeed to Warr. Our way we bend,All Relicks of the Wretch are doom'd to Fire;,"The Chief, before the Games were wholly done,","What brought you, living, to the Stygian State?","Who watch'd an Hour to work her impious Will,",Turnus shall dearly pay for Faith forsworn;,"It stuck, the fiery Plague: The Winds were high;",Unless reliev'd by his victorious Hand.,To mount; and lead thy self our Ardean Band.,"Beneath his Buckler, shunn'd the threatning blow."
line715,"Their Tasks in equal Portions she divides,",Or in one common Fate with us be join'd.,"To Pallas, and the sacred Hill ascend.","For so the Priestess, and her Charms require.","Call'd Periphantes, Tutor to his Son;","Driv'n by the Winds and Errors of the Sea,","Ascends the Roof, and to her crooked Horn,","And Corps, and Swords, and Shields, on Tyber born,","The Planks were season'd, and the Timber dry.","He whirls his Sword around, without delay,","Messapus, and Catillus, post your Force","The Weapon hiss'd above his Head, and tore"
line716,"And where unequal, there by Lots decides.","She said, and with a last Salute embrac'd","There, prostrate to the fierce Virago pray;","Thus far she said, and farther Speech forbears:","And whisper'd thus; with speed Ascanius find,",Or did you Heav'ns Superior Doom obey?,"Such as was then by Latian Shepherds born,",Shall choak his Flood: Now sound the loud Alarms;,"Contagion caught the Posts: It spread along,",And hews through adverse Foes an ample Way;,"Along the Fields, to charge the Trojan Horse.","The waving Plume, which on his Helm he wore."
line717,Another Way by chance Aeneas bends,"The poor old Man, and by the Lawrel plac'd.",Whose Temple was the Land-Mark of our way.,A Mortal Paleness in her Face appears:,And if his Childish Troop be ready join'd;,Or tell what other Chance conducts your way?,"Adds all her Breath, the Rocks and Woods around,",And Latian Troops prepare your perjur'd Arms.,"Scorch'd, and to distance drove the scatter'd Throng.","To find fierce Turnus, of his Conquest proud:","Some guard the Passes, others man the Wall;","Forc'd by this hostile Act, and fir'd with spight,"
line718,"His Eyes, and unexpected sees his Friends:","Behold Polites, one of Priam's Sons,",Each with a Phrygian Mantle veil'd his Head;,"Yet, the mistrustless Anna, could not find","On Hors•-back let him grace his Grandsire's Day,","To view, with Mortal Eyes, our dark Retreats,","And Mountains, tremble at th' infernal Sound.","He said; and rising from his homely Throne,","The Trojans fled; the Fire pursu'd amain,","Evander, Pallas, all that Friendship ow'd","Drawn up in Arms, the rest attend my Call.",That flying Turnus still declin'd the Fight;
line719,"Antheus, Sergestus grave, Cloanthus strong,","Pursu'd by Pyrrhus, there for safety runs.",And all Commands of Helenus obey'd;,"The secret Fun'ral, in these Rites design'd;","And lead his Equals arm'd, in just Array.",Tumults and Torments of th' Infernal Seats?,"The Sacred Lake of Trivia from afar,",The Solemn Rites of Hercules begun:,Still gath'ring fast upon the trembling Train;,"To large Deserts, are present to his Eyes;",They swarm from ev'ry Quarter of the Town;,"The Prince, whose Piety had long repell'd"
